Customer demographics,Region,Location
Non-binary,West,Mumbai
Female,West,Mumbai
Unknown,West,Mumbai
Non-binary,East,Kolkata
Non-binary,North,Delhi
Non-binary,South,Bangalore
Male,East,Kolkata
Female,South,Bangalore
Female,West,Mumbai
Unknown,South,Chennai
Non-binary,East,Kolkata
Female,East,Kolkata
Unknown,East,Kolkata
Male,South,Bangalore
Non-binary,East,Kolkata
Non-binary,South,Bangalore
Female,South,Bangalore
Female,South,Chennai
Unknown,East,Kolkata
Unknown,South,Chennai
Unknown,South,Chennai
Unknown,South,Chennai
Unknown,East,Kolkata
Unknown,East,Kolkata
Male,South,Bangalore
Male,East,Kolkata
Male,South,Bangalore
Unknown,West,Mumbai
Female,West,Mumbai
Female,East,Kolkata
Male,East,Kolkata
Male,South,Chennai
Unknown,East,Kolkata
Non-binary,South,Chennai
Unknown,South,Chennai
Female,North,Delhi
Female,North,Delhi
Female,East,Kolkata
Non-binary,West,Mumbai
Female,East,Kolkata
Female,East,Kolkata
Female,South,Chennai
Female,South,Bangalore
Unknown,West,Mumbai
Female,North,Delhi
Male,South,Chennai
Non-binary,South,Chennai
Male,East,Kolkata
Non-binary,West,Mumbai
Unknown,North,Delhi
Female,North,Delhi
Male,South,Bangalore
Male,West,Mumbai
Male,North,Delhi
Non-binary,East,Kolkata
Male,North,Delhi
Non-binary,West,Mumbai
Unknown,North,Delhi
Non-binary,North,Delhi
Non-binary,East,Kolkata
Female,West,Mumbai
Unknown,East,Kolkata
Unknown,West,Mumbai
Non-binary,South,Bangalore
Female,North,Delhi
Male,East,Kolkata
Female,East,Kolkata
Unknown,West,Mumbai
Non-binary,South,Bangalore
Non-binary,East,Kolkata
Female,South,Bangalore
Female,South,Bangalore
Non-binary,South,Bangalore
Male,South,Chennai
Female,North,Delhi
Non-binary,South,Chennai
Male,South,Bangalore
Unknown,East,Kolkata
Unknown,West,Mumbai
Non-binary,South,Bangalore
Unknown,South,Chennai
Unknown,North,Delhi
Unknown,West,Mumbai
Unknown,South,Bangalore
Unknown,South,Chennai
Female,South,Chennai
Unknown,West,Mumbai
Male,South,Chennai
Male,West,Mumbai
Unknown,East,Kolkata
Non-binary,South,Bangalore
Male,North,Delhi
Male,West,Mumbai
Unknown,South,Chennai
Unknown,North,Delhi
Unknown,West,Mumbai
Non-binary,West,Mumbai
Male,West,Mumbai
Female,South,Chennai
Unknown,South,Chennai
